epoch,Train_acc_withbias,Train_acc_org_withbias,Test_acc_withbias,Train_acc_zerobias,Train_acc_org_zerobias,Test_acc_zerobias
0,11.256,11.264000000000001,11.58,12.978000000000002,12.97,12.879999999999999
1,58.19800000000001,58.19,56.010000000000005,61.117999999999995,61.126000000000005,58.42
2,66.14999999999999,66.158,61.79,68.08800000000001,68.08999999999999,62.870000000000005
4,71.762,71.758,62.88,74.614,74.614,64.67
6,78.92,78.92,67.21000000000001,81.722,81.718,68.47999999999999
8,84.06,84.056,69.39,85.924,85.924,69.97
10,88.05199999999999,88.06,71.0,89.604,89.60000000000001,71.78999999999999
12,91.264,91.266,72.49,92.314,92.31200000000001,73.07000000000001
14,94.326,94.32000000000001,74.11,94.952,94.95,74.46000000000001
16,95.462,95.46,74.39,96.1,96.092,74.8
